date,close,volume,open,high,low
2013-10-09,20.854,22591281,20.77,20.905,20.498
2013-10-10,20.984,20755956,21.057,21.102,20.873
2013-10-11,21.121,20039130,20.871,21.165,20.793
2013-10-14,21.259,19565034,20.993,21.325,20.972
2013-10-15,21.372,23914723,21.322,21.514,21.237
2013-10-16,21.476,18734882,21.462,21.537,21.396
2013-10-17,21.621,18935086,21.428,21.633,21.415
2013-10-18,21.81,21658587,21.685,21.825,21.673
2013-10-21,22.344,29610114,21.933,22.47,21.922
2013-10-22,22.28,39960009,22.56,22.648,21.773
2013-10-23,22.498,23471349,22.243,22.529,22.243
2013-10-24,22.796,28801361,22.5,22.82,22.391
2013-10-25,22.541,25294864,22.771,22.853,22.505
2013-10-28,22.709,37261739,22.673,22.757,22.423
2013-10-29,22.143,47549894,22.983,23.111,22.052
2013-10-30,22.496,26437621,22.269,22.608,22.158
2013-10-31,22.402,20632441,22.5,22.607,22.34
2013-11-01,22.287,20557355,22.458,22.491,22.107
2013-11-04,22.575,18303561,22.333,22.578,22.235
2013-11-05,22.519,19873055,22.482,22.667,22.414
2013-11-06,22.325,16714986,22.464,22.494,22.209
2013-11-07,21.964,19662889,22.268,22.422,21.959
2013-11-08,22.31,20885172,22.053,22.334,21.968
2013-11-11,22.245,17024276,22.285,22.357,22.046
2013-11-12,22.286,15320344,22.186,22.454,22.157
2013-11-13,22.313,14746206,22.2,22.382,22.155
2013-11-14,22.635,21120483,22.406,22.683,22.366
2013-11-15,22.5,23801995,22.568,22.675,22.478
2013-11-18,22.227,18299361,22.5,22.594,22.209
2013-11-19,22.266,15631600,22.244,22.431,22.199
2013-11-20,22.071,14537840,22.253,22.304,22.043
2013-11-21,22.334,19614791,22.183,22.338,22.014
2013-11-22,22.277,16750039,22.265,22.378,22.223
2013-11-25,22.446,17181243,22.329,22.537,22.329
2013-11-26,22.86,29987316,22.462,22.977,22.457
2013-11-27,23.398,27193349,22.985,23.4,22.86
2013-11-29,23.832,23859682,23.549,23.928,23.478
2013-12-02,23.624,35375476,23.914,24.186,23.607
2013-12-03,24.271,33701482,23.927,24.273,23.901
2013-12-04,24.214,28283774,24.236,24.394,24.035
2013-12-05,24.339,33480246,24.542,24.649,24.275
2013-12-06,24.001,25775722,24.248,24.289,23.982
2013-12-09,24.276,23983582,24.039,24.411,24.039
2013-12-10,24.238,20730486,24.153,24.338,24.051
2013-12-11,24.058,26935196,24.3,24.47,23.987
2013-12-12,24.023,19639728,24.092,24.229,24.001
2013-12-13,23.761,24892336,24.122,24.123,23.729
2013-12-16,23.893,21164394,23.787,24.113,23.786
2013-12-17,23.785,17141198,23.82,23.976,23.716
2013-12-18,23.604,42365118,23.559,23.634,23.091
2013-12-19,23.334,23981944,23.55,23.571,23.303
2013-12-20,23.529,32621598,23.376,23.64,23.349
2013-12-23,24.432,37521698,24.343,24.459,24.118
2013-12-24,24.329,12566624,24.424,24.509,24.258
2013-12-26,24.167,15272013,24.347,24.407,24.145
2013-12-27,24.004,16915715,24.164,24.189,23.979
2013-12-30,23.765,18979591,23.891,24.004,23.671
2013-12-31,24.044,16728330,23.75,24.055,23.743
2014-01-02,23.706,17598459,23.815,23.873,23.658
2014-01-03,23.185,29414099,23.694,23.73,23.161
2014-01-06,23.311,30939708,23.034,23.434,22.869
2014-01-07,23.144,24051874,23.328,23.398,23.054
2014-01-08,23.291,19247528,23.092,23.381,23.087
2014-01-09,22.994,20928845,23.434,23.437,22.944
2014-01-10,22.84,22870665,23.136,23.177,22.762
2014-01-13,22.96,28383734,22.71,23.25,22.709
2014-01-14,23.417,24924760,23.067,23.431,23.043
2014-01-15,23.887,29366576,23.722,24.009,23.643
2014-01-16,23.754,17193910,23.781,23.865,23.643
2014-01-17,23.172,31998255,23.635,23.66,23.139
2014-01-21,23.532,24569104,23.185,23.574,23.161
2014-01-22,23.636,28482518,23.611,23.884,23.478
2014-01-23,23.836,30241080,23.569,23.85,23.349
2014-01-24,23.403,32382954,23.743,23.812,23.346
2014-01-27,23.593,40778064,23.574,23.777,23.389
2014-01-28,21.707,79890765,21.804,22.071,21.517
2014-01-29,21.461,37703831,21.598,21.744,21.369
2014-01-30,21.419,50880600,21.537,21.707,21.287
2014-01-31,21.454,34857511,21.222,21.494,21.152
2014-02-03,21.494,30104370,21.54,21.76,21.399
2014-02-04,21.805,28250027,21.679,21.834,21.547
2014-02-05,21.968,24621856,21.71,22.083,21.697
2014-02-06,21.965,19324541,21.86,22.007,21.763
2014-02-07,22.272,28033475,22.345,22.411,22.173
2014-02-10,22.671,25902793,22.228,22.8,22.2
2014-02-11,22.97,21146838,22.74,23.046,22.693
2014-02-12,22.968,23098326,23.012,23.124,22.853
2014-02-13,23.333,23037027,22.914,23.351,22.894
2014-02-14,23.314,20518577,23.249,23.399,23.195
2014-02-18,23.4,19514430,23.4,23.622,23.383
2014-02-19,23.03,23524774,23.346,23.438,22.901
2014-02-20,22.764,22937214,22.842,23.014,22.671
2014-02-21,22.511,20906413,22.834,22.91,22.483
2014-02-24,22.609,21662682,22.421,22.711,22.389
2014-02-25,22.374,17388481,22.688,22.696,22.329
2014-02-26,22.172,20707281,22.44,22.5,22.097
2014-02-27,22.614,22633386,22.163,22.662,22.116
2014-02-28,22.553,27879062,22.675,22.832,22.377
2014-03-03,22.618,17901474,22.432,22.742,22.406
2014-03-04,22.767,19431732,22.757,22.827,22.619
2014-03-05,22.815,15000273,22.754,22.918,22.677
2014-03-06,22.746,13908984,22.834,22.905,22.633
2014-03-07,22.733,16549328,22.761,22.799,22.545
2014-03-10,22.754,13391685,22.644,22.857,22.643
2014-03-11,22.975,20937386,22.948,23.089,22.825
2014-03-12,22.998,14945721,22.908,23.029,22.8
2014-03-13,22.742,19294211,23.033,23.128,22.678
2014-03-14,22.487,17749854,22.662,22.752,22.414
2014-03-17,22.575,14917560,22.616,22.713,22.536
2014-03-18,22.774,15683745,22.539,22.799,22.509
2014-03-19,22.768,16823281,22.811,22.982,22.671
2014-03-20,22.659,15605224,22.71,22.829,22.601
2014-03-21,22.837,28029506,22.797,22.875,22.557
2014-03-24,23.108,26602346,23.075,23.164,22.931
2014-03-25,23.357,21085308,23.207,23.389,23.125
2014-03-26,23.133,22318470,23.422,23.529,23.094
2014-03-27,23.034,16599127,23.144,23.207,22.934
2014-03-28,23.008,14910913,23.071,23.097,22.896
2014-03-31,23.003,12536392,23.11,23.178,22.968
2014-04-01,23.214,15020897,23.047,23.223,23.004
2014-04-02,23.252,13441142,23.245,23.292,23.154
2014-04-03,23.091,12141831,23.202,23.25,23.042
2014-04-04,22.792,20584573,23.135,23.143,22.739
2014-04-07,22.434,21644097,22.629,22.753,22.367
2014-04-08,22.433,18264278,22.508,22.548,22.23
2014-04-09,22.728,15407311,22.399,22.735,22.372
2014-04-10,22.435,17910544,22.743,22.81,22.422
2014-04-11,22.269,20376209,22.243,22.407,22.163
2014-04-14,22.358,15375824,22.367,22.378,22.166
2014-04-15,22.198,19938565,22.297,22.356,21.914
2014-04-16,22.243,15754738,22.202,22.332,22.034
2014-04-17,22.497,21293586,22.286,22.618,22.251
2014-04-21,22.764,13663948,22.515,22.806,22.455
2014-04-22,22.787,15182324,22.642,22.793,22.564
2014-04-23,22.489,28042085,22.674,22.763,22.476
2014-04-24,24.333,56876522,24.352,24.429,24.031
2014-04-25,24.512,29230559,24.194,24.514,24.17
2014-04-28,25.461,50100492,24.549,25.532,24.538
2014-04-29,25.386,25214833,25.446,25.542,25.265
2014-04-30,25.29,34208884,25.399,25.69,25.277
2014-05-01,25.349,18287658,25.371,25.491,25.13
2014-05-02,25.396,14301945,25.386,25.466,25.273
2014-05-05,25.755,21457155,25.292,25.757,25.286
2014-05-06,25.475,28040468,25.791,25.903,25.475
2014-05-07,25.386,21159669,25.511,25.598,25.188
2014-05-08,25.2,17173053,25.211,25.475,25.131
2014-05-09,25.095,21830157,25.052,25.125,24.871
2014-05-12,25.407,15955212,25.178,25.443,25.174
2014-05-13,25.447,11956353,25.371,25.48,25.316
2014-05-14,25.452,12451560,25.39,25.603,25.36
2014-05-15,25.235,17228323,25.487,25.569,25.202
2014-05-16,25.608,20688040,25.227,25.608,25.089
2014-05-19,25.911,23645965,25.622,26.028,25.6
2014-05-20,25.916,17469711,25.908,25.989,25.746
2014-05-21,25.985,14755494,25.878,26.001,25.803
2014-05-22,26.026,15042800,25.997,26.136,25.89
2014-05-23,26.32,17375510,26.025,26.346,25.992
2014-05-27,26.813,26052145,26.395,26.823,26.384
2014-05-28,26.743,23638111,26.829,26.993,26.733
2014-05-29,27.231,28121318,26.908,27.294,26.904
2014-05-30,27.129,42258060,27.342,27.607,26.953
2014-06-02,26.942,27653900,27.17,27.207,26.679
2014-06-03,27.323,21913023,26.934,27.375,26.925
2014-06-04,27.635,25120585,27.319,27.767,27.262
2014-06-05,27.744,22738974,27.694,27.83,27.54
2014-06-06,27.667,26220922,27.853,27.911,27.62
2014-06-09,28.11,22588635,27.81,28.164,27.525
2014-06-10,28.275,18768921,28.419,28.515,28.071
2014-06-11,28.158,13658622,28.239,28.428,28.041
2014-06-12,27.687,16388595,28.212,28.236,27.57
2014-06-13,27.384,16321992,27.66,27.732,27.264
2014-06-16,27.66,10611438,27.453,27.825,27.435
2014-06-17,27.624,8905386,27.693,27.81,27.54
2014-06-18,27.654,9994416,27.681,27.687,27.405
2014-06-19,27.558,10642824,27.687,27.69,27.402
2014-06-20,27.273,30143580,27.555,27.765,27.27
2014-06-23,27.249,13083513,27.396,27.486,27.18
2014-06-24,27.084,11693301,27.225,27.522,27.057
2014-06-25,27.108,11050770,27.063,27.21,26.895
2014-06-26,27.27,9758604,27.111,27.315,26.94
2014-06-27,27.594,18527460,27.246,27.6,27.231
2014-06-30,27.879,14842269,27.63,28.117,27.627
2014-07-01,28.056,11446884,28.056,28.221,27.939
2014-07-02,28.044,8524293,28.159,28.218,27.927
2014-07-03,28.209,6867525,28.101,28.23,27.96
2014-07-07,28.79,16442709,28.242,28.797,28.23
2014-07-08,28.605,19533588,28.881,29.04,28.176
2014-07-09,28.617,10880205,28.632,28.785,28.428
2014-07-10,28.51,11890140,28.128,28.665,28.056
2014-07-11,28.566,10188090,28.608,28.767,28.459
2014-07-14,28.935,12793128,28.758,29.067,28.695
2014-07-15,28.596,13556226,29.04,29.055,28.509
2014-07-16,28.434,15997182,29.091,29.13,28.422
2014-07-17,27.927,17133348,28.509,28.584,27.771
2014-07-18,28.329,14951433,28.086,28.422,27.906
2014-07-21,28.182,11637888,28.497,28.5,28.116
2014-07-22,28.416,16289259,28.404,28.467,28.236
2014-07-23,29.157,27281169,28.626,29.364,28.551
2014-07-24,29.109,13682712,29.11,29.196,28.926
2014-07-25,29.301,13015377,29.055,29.352,28.992
2014-07-28,29.706,16478082,29.346,29.772,29.265
2014-07-29,29.514,12887388,29.799,29.832,29.475
2014-07-30,29.445,9893544,29.532,29.61,29.301
2014-07-31,28.68,16987626,29.148,29.235,28.599
2014-08-01,28.839,14513919,28.47,28.986,28.443
2014-08-04,28.677,11958222,28.911,28.974,28.551
2014-08-05,28.536,16758309,28.608,28.704,28.308
2014-08-06,28.488,11539110,28.425,28.644,28.413
2014-08-07,28.344,13966005,28.479,28.785,28.23
2014-08-08,28.422,12534990,28.278,28.446,27.984
2014-08-11,28.797,10937829,28.581,28.824,28.451
2014-08-12,28.791,10045761,28.812,29.064,28.683
2014-08-13,29.172,9559989,28.845,29.172,28.812
2014-08-14,29.25,8416959,29.199,29.271,29.04
2014-08-15,29.394,14681436,29.37,29.457,29.058
2014-08-18,29.748,14185689,29.547,29.811,29.394
2014-08-19,30.159,20756952,29.823,30.204,29.796
2014-08-20,30.171,15769500,30.132,30.327,29.985
2014-08-21,30.174,10013259,30.171,30.282,30.033
2014-08-22,30.396,13208484,30.087,30.441,30.057
2014-08-25,30.462,12026166,30.537,30.651,30.384
2014-08-26,30.267,9923751,30.426,30.45,30.258
2014-08-27,30.639,14042100,30.306,30.771,30.21
2014-08-28,30.675,20510622,30.477,30.834,30.468
2014-08-29,30.75,13354836,30.858,30.87,30.66
2014-09-02,30.99,15968331,30.918,31.122,30.816
2014-09-03,29.682,37500120,30.93,30.96,29.574
2014-09-04,29.436,25661313,29.655,30.027,29.337
2014-09-05,29.691,17484009,29.64,29.817,29.493
